
Item Name	Name	Population	Timepoint	Abs. Time	Rel. Time (s)	Type	Parent ID	Intensity	Distance (µm)	Distance	Normalized Distance
 5	Line Profile Sample 1 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	588	0	0	0
 5	Line Profile Sample 2 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	599.38	0.0894	1	0.0335
 5	Line Profile Sample 3 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	628.55	0.179	2	0.067
 5	Line Profile Sample 4 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	709.45	0.268	3	0.101
 5	Line Profile Sample 5 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	719.78	0.357	4	0.134
 5	Line Profile Sample 6 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	745.16	0.447	5	0.168
 5	Line Profile Sample 7 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	726.25	0.536	6	0.201
 5	Line Profile Sample 8 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	723.21	0.626	7	0.235
 5	Line Profile Sample 9 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	740.28	0.715	8	0.268
 5	Line Profile Sample 10 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	806.18	0.804	9	0.302
 5	Line Profile Sample 11 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	746.81	0.894	10	0.335
 5	Line Profile Sample 12 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	768.83	0.983	11	0.369
 5	Line Profile Sample 13 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	771.32	1.07	12	0.402
 5	Line Profile Sample 14 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	763.26	1.16	13	0.436
 5	Line Profile Sample 15 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	758.96	1.25	14	0.469
 5	Line Profile Sample 16 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	749.15	1.34	15	0.503
 5	Line Profile Sample 17 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	738.38	1.43	16	0.536
 5	Line Profile Sample 18 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	724.18	1.52	17	0.57
 5	Line Profile Sample 19 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	700.33	1.61	18	0.603
 5	Line Profile Sample 20 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	744.96	1.7	19	0.637
 5	Line Profile Sample 21 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	749.84	1.79	20	0.67
 5	Line Profile Sample 22 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	710.88	1.88	21	0.704
 5	Line Profile Sample 23 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	679.23	1.97	22	0.737
 5	Line Profile Sample 24 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	757.12	2.06	23	0.771
 5	Line Profile Sample 25 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	852.31	2.14	24	0.804
 5	Line Profile Sample 26 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	1046.63	2.23	25	0.838
 5	Line Profile Sample 27 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	1397.43	2.32	26	0.872
 5	Line Profile Sample 28 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	1682.97	2.41	27	0.905
 5	Line Profile Sample 29 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	1739.02	2.5	28	0.939
 5	Line Profile Sample 30 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	1519.53	2.59	29	0.972
 5	Line Profile Sample 31 for Lines 1	Lines 1 Profile Sample	1	12:40:04.468 on 30/2016/03	0	Line Profile Sample	<Missing column>	1221	2.67	29.83	1
