
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1788	30	0	0	0
Line Profile Sample 2 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1865.43	30	0.0894	1	0.0302
Line Profile Sample 3 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1834.79	30	0.179	2	0.0604
Line Profile Sample 4 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1817.1	30	0.268	3	0.0905
Line Profile Sample 5 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1739.69	30	0.357	4	0.121
Line Profile Sample 6 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1714.36	30	0.447	5	0.151
Line Profile Sample 7 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1683.36	30	0.536	6	0.181
Line Profile Sample 8 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1665.16	30	0.626	7	0.211
Line Profile Sample 9 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1669.12	30	0.715	8	0.241
Line Profile Sample 10 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1661.19	30	0.804	9	0.272
Line Profile Sample 11 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1675.33	30	0.894	10	0.302
Line Profile Sample 12 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1812.35	30	0.983	11	0.332
Line Profile Sample 13 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1878.88	30	1.07	12	0.362
Line Profile Sample 14 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1872.27	30	1.16	13	0.392
Line Profile Sample 15 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1831.62	30	1.25	14	0.423
Line Profile Sample 16 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1743.66	30	1.34	15	0.453
Line Profile Sample 17 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1698.26	30	1.43	16	0.483
Line Profile Sample 18 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1670.09	30	1.52	17	0.513
Line Profile Sample 19 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1681.64	30	1.61	18	0.543
Line Profile Sample 20 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1728.22	30	1.7	19	0.573
Line Profile Sample 21 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1768.27	30	1.79	20	0.604
Line Profile Sample 22 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1774.63	30	1.88	21	0.634
Line Profile Sample 23 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1816.61	30	1.97	22	0.664
Line Profile Sample 24 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1814.49	30	2.06	23	0.694
Line Profile Sample 25 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1720.44	30	2.14	24	0.724
Line Profile Sample 26 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1736.71	30	2.23	25	0.754
Line Profile Sample 27 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1741.9	30	2.32	26	0.785
Line Profile Sample 28 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1801.15	30	2.41	27	0.815
Line Profile Sample 29 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1877.45	30	2.5	28	0.845
Line Profile Sample 30 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1920.14	30	2.59	29	0.875
Line Profile Sample 31 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1909.72	30	2.68	30	0.905
Line Profile Sample 32 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1916.55	30	2.77	31	0.936
Line Profile Sample 33 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	1944.38	30	2.86	32	0.966
Line Profile Sample 34 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	2020.64	30	2.95	33	0.996
Line Profile Sample 35 for Lines 30	Lines 30 Profile Sample	Line Profile Sample	 15	2032	30	2.96	33.14	1
