
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance	Channel
Line Profile Sample 1 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2661	1	0	0	0	Hamamatsu C10600-10B
Line Profile Sample 2 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2807.63	1	0.0894	1	0.0247	Hamamatsu C10600-10B
Line Profile Sample 3 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2746.08	1	0.179	2	0.0494	Hamamatsu C10600-10B
Line Profile Sample 4 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2581.77	1	0.268	3	0.0741	Hamamatsu C10600-10B
Line Profile Sample 5 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2309.02	1	0.357	4	0.0989	Hamamatsu C10600-10B
Line Profile Sample 6 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2008.77	1	0.447	5	0.124	Hamamatsu C10600-10B
Line Profile Sample 7 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2038.98	1	0.536	6	0.148	Hamamatsu C10600-10B
Line Profile Sample 8 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2010.87	1	0.626	7	0.173	Hamamatsu C10600-10B
Line Profile Sample 9 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2076.01	1	0.715	8	0.198	Hamamatsu C10600-10B
Line Profile Sample 10 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2197.4	1	0.804	9	0.222	Hamamatsu C10600-10B
Line Profile Sample 11 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2181.22	1	0.894	10	0.247	Hamamatsu C10600-10B
Line Profile Sample 12 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2214.23	1	0.983	11	0.272	Hamamatsu C10600-10B
Line Profile Sample 13 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2187.05	1	1.07	12	0.297	Hamamatsu C10600-10B
