
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	650	51	0	0	0
Line Profile Sample 2 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	674.76	51	0.0894	1	0.0366
Line Profile Sample 3 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	739.3	51	0.179	2	0.0732
Line Profile Sample 4 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	811.68	51	0.268	3	0.11
Line Profile Sample 5 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	934.22	51	0.357	4	0.146
Line Profile Sample 6 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1116.27	51	0.447	5	0.183
Line Profile Sample 7 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1204.76	51	0.536	6	0.22
Line Profile Sample 8 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1203.05	51	0.626	7	0.256
Line Profile Sample 9 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1136.47	51	0.715	8	0.293
Line Profile Sample 10 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1063.52	51	0.804	9	0.33
Line Profile Sample 11 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1030.35	51	0.894	10	0.366
Line Profile Sample 12 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1026.23	51	0.983	11	0.403
Line Profile Sample 13 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1064.19	51	1.07	12	0.439
Line Profile Sample 14 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1112.16	51	1.16	13	0.476
Line Profile Sample 15 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1163.09	51	1.25	14	0.513
Line Profile Sample 16 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1171.91	51	1.34	15	0.549
Line Profile Sample 17 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1121.48	51	1.43	16	0.586
Line Profile Sample 18 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1075.88	51	1.52	17	0.622
Line Profile Sample 19 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1033.17	51	1.61	18	0.659
Line Profile Sample 20 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1023.08	51	1.7	19	0.696
Line Profile Sample 21 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1023.25	51	1.79	20	0.732
Line Profile Sample 22 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1009.41	51	1.88	21	0.769
Line Profile Sample 23 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	993.36	51	1.97	22	0.805
Line Profile Sample 24 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	999.7	51	2.06	23	0.842
Line Profile Sample 25 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1014.74	51	2.14	24	0.879
Line Profile Sample 26 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1020.6	51	2.23	25	0.915
Line Profile Sample 27 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1040.76	51	2.32	26	0.952
Line Profile Sample 28 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1030.35	51	2.41	27	0.989
Line Profile Sample 29 for Lines 51	Lines 51 Profile Sample	Line Profile Sample	 18	1021	51	2.44	27.31	1
