
ID	Name	Population	Type	Item Name	Total Line Length (µm)	Start Position X	Start Position Y	End Position X	End Position Y	Intensity	Angle (degrees)	Bearing (degrees)	Line Width (µm)	Parent ID	Distance (µm)	Distance	Normalized Distance
1	Lines 1	Lines	Line	 24	2.4	53.98	69.35	55.05	67.2	N/A	26.57	26.57	0	N/A	N/A	N/A	N/A
2	Lines 2	Lines	Line	 24	3.25	53.98	70.6	52.28	73.37	N/A	148.5	211.5	0	N/A	N/A	N/A	N/A
3	Lines 3	Lines	Line	 24	3.76	94.46	54.69	98.21	54.87	N/A	92.73	92.73	0	N/A	N/A	N/A	N/A
4	Lines 4	Lines	Line	 24	1.96	47.27	63.54	49.06	64.34	N/A	114.23	114.23	0	N/A	N/A	N/A	N/A
5	Lines 5	Lines	Line	 24	1.95	6.97	46.29	7.51	48.17	N/A	164.05	164.05	0	N/A	N/A	N/A	N/A
6	Lines 6	Lines	Line	 24	2.59	48.97	50.67	51.56	50.67	N/A	90	90	0	N/A	N/A	N/A	N/A
7	Lines 7	Lines	Line	 24	2.68	9.74	56.21	8.4	53.89	N/A	29.98	330.02	0	N/A	N/A	N/A	N/A
N/A	Line Profile Sample 1 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	897	N/A	N/A	N/A	1	0	0	0
N/A	Line Profile Sample 2 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1031.96	N/A	N/A	N/A	1	0.0894	1	0.0373
N/A	Line Profile Sample 3 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1195.63	N/A	N/A	N/A	1	0.179	2	0.0745
N/A	Line Profile Sample 4 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1267.27	N/A	N/A	N/A	1	0.268	3	0.112
N/A	Line Profile Sample 5 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1336.03	N/A	N/A	N/A	1	0.357	4	0.149
N/A	Line Profile Sample 6 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1360.74	N/A	N/A	N/A	1	0.447	5	0.186
N/A	Line Profile Sample 7 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1318.9	N/A	N/A	N/A	1	0.536	6	0.224
N/A	Line Profile Sample 8 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1313.36	N/A	N/A	N/A	1	0.626	7	0.261
N/A	Line Profile Sample 9 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1360.62	N/A	N/A	N/A	1	0.715	8	0.298
N/A	Line Profile Sample 10 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1365.23	N/A	N/A	N/A	1	0.804	9	0.335
N/A	Line Profile Sample 11 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1351.37	N/A	N/A	N/A	1	0.894	10	0.373
N/A	Line Profile Sample 12 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1369.14	N/A	N/A	N/A	1	0.983	11	0.41
N/A	Line Profile Sample 13 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1358.33	N/A	N/A	N/A	1	1.07	12	0.447
N/A	Line Profile Sample 14 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1339.75	N/A	N/A	N/A	1	1.16	13	0.484
N/A	Line Profile Sample 15 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1335.5	N/A	N/A	N/A	1	1.25	14	0.522
