
ID	Name	Population	Type	Item Name	Total Line Length (µm)	Start Position X	Start Position Y	End Position X	End Position Y	Angle (degrees)	Bearing (degrees)	Line Width (µm)
1	Lines 1	Lines	Line	 12	2.28	67.65	62.47	68.81	60.5	30.58	30.58	0
2	Lines 2	Lines	Line	 12	3.72	66.93	49.78	66.31	53.44	170.31	189.69	0
3	Lines 3	Lines	Line	 12	2.15	48.35	63.36	47.72	61.3	16.93	343.07	0
4	Lines 4	Lines	Line	 12	2.96	24.31	76.23	21.63	77.48	115.02	244.98	0
5	Lines 5	Lines	Line	 12	2.41	82.48	78.19	80.43	76.94	58.67	301.33	0
6	Lines 6	Lines	Line	 12	2.28	86.59	72.92	85.43	70.96	30.58	329.42	0
7	Lines 7	Lines	Line	 12	2.09	74.53	59.25	72.92	57.91	50.19	309.81	0
8	Lines 8	Lines	Line	 12	2.09	81.59	28.6	83.02	30.12	136.74	136.74	0
9	Lines 9	Lines	Line	 12	1.41	36.01	43.07	35.21	44.24	145.3	214.7	0
10	Lines 10	Lines	Line	 12	2.72	59.16	81.59	60.23	84.09	156.8	156.8	0
11	Lines 11	Lines	Line	 12	2.34	56.75	67.56	55.14	65.86	43.45	316.55	0
12	Lines 12	Lines	Line	 12	2.6	67.2	88.2	64.88	87.04	63.43	296.57	0
13	Lines 13	Lines	Line	 12	2.89	94.01	36.01	91.33	34.94	68.2	291.8	0
14	Lines 14	Lines	Line	 12	3.26	104.56	27.7	104.02	24.49	9.46	350.54	0
