
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1148	1	0	0	0
Line Profile Sample 2 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1251.57	1	0.0894	1	0.03
Line Profile Sample 3 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1346.28	1	0.179	2	0.0601
Line Profile Sample 4 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1334.24	1	0.268	3	0.0901
Line Profile Sample 5 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1330.84	1	0.357	4	0.12
Line Profile Sample 6 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1386.1	1	0.447	5	0.15
Line Profile Sample 7 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1475.5	1	0.536	6	0.18
Line Profile Sample 8 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1492.37	1	0.626	7	0.21
Line Profile Sample 9 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1447.58	1	0.715	8	0.24
Line Profile Sample 10 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1476.55	1	0.804	9	0.27
Line Profile Sample 11 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1464.96	1	0.894	10	0.3
Line Profile Sample 12 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1410.13	1	0.983	11	0.33
Line Profile Sample 13 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1459.96	1	1.07	12	0.361
Line Profile Sample 14 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1475.98	1	1.16	13	0.391
Line Profile Sample 15 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1337.24	1	1.25	14	0.421
Line Profile Sample 16 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1281.83	1	1.34	15	0.451
Line Profile Sample 17 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1302.45	1	1.43	16	0.481
Line Profile Sample 18 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1367.5	1	1.52	17	0.511
Line Profile Sample 19 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1378.28	1	1.61	18	0.541
Line Profile Sample 20 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1428.29	1	1.7	19	0.571
Line Profile Sample 21 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1505.33	1	1.79	20	0.601
Line Profile Sample 22 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1458.69	1	1.88	21	0.631
Line Profile Sample 23 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1483.5	1	1.97	22	0.661
Line Profile Sample 24 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1476.35	1	2.06	23	0.691
Line Profile Sample 25 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1447.51	1	2.14	24	0.721
Line Profile Sample 26 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1487.36	1	2.23	25	0.751
Line Profile Sample 27 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1465.19	1	2.32	26	0.781
Line Profile Sample 28 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1531.17	1	2.41	27	0.811
Line Profile Sample 29 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1666.5	1	2.5	28	0.841
Line Profile Sample 30 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1918.75	1	2.59	29	0.871
Line Profile Sample 31 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	2220.72	1	2.68	30	0.901
Line Profile Sample 32 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	2421.23	1	2.77	31	0.931
Line Profile Sample 33 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	2211.2	1	2.86	32	0.961
Line Profile Sample 34 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1874.18	1	2.95	33	0.991
Line Profile Sample 35 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 10	1750	1	2.97	33.29	1
