
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	985	2	0	0	0
Line Profile Sample 2 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1130.37	2	0.0894	1	0.0314
Line Profile Sample 3 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1173.58	2	0.179	2	0.0628
Line Profile Sample 4 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1281.6	2	0.268	3	0.0943
Line Profile Sample 5 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1466.27	2	0.357	4	0.126
Line Profile Sample 6 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1553.88	2	0.447	5	0.157
Line Profile Sample 7 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1567.27	2	0.536	6	0.189
Line Profile Sample 8 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1555.63	2	0.626	7	0.22
Line Profile Sample 9 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1501.37	2	0.715	8	0.251
Line Profile Sample 10 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1512.04	2	0.804	9	0.283
Line Profile Sample 11 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1490.67	2	0.894	10	0.314
Line Profile Sample 12 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1485.84	2	0.983	11	0.346
Line Profile Sample 13 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1470.4	2	1.07	12	0.377
Line Profile Sample 14 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1511.02	2	1.16	13	0.408
Line Profile Sample 15 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1600	2	1.25	14	0.44
Line Profile Sample 16 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1599.69	2	1.34	15	0.471
Line Profile Sample 17 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1626.4	2	1.43	16	0.503
Line Profile Sample 18 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1557.72	2	1.52	17	0.534
Line Profile Sample 19 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1513.24	2	1.61	18	0.566
Line Profile Sample 20 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1594.33	2	1.7	19	0.597
Line Profile Sample 21 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1646.65	2	1.79	20	0.628
Line Profile Sample 22 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1640.65	2	1.88	21	0.66
Line Profile Sample 23 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1663.55	2	1.97	22	0.691
Line Profile Sample 24 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1663.37	2	2.06	23	0.723
Line Profile Sample 25 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1620.27	2	2.14	24	0.754
Line Profile Sample 26 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1690.88	2	2.23	25	0.785
Line Profile Sample 27 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1763.56	2	2.32	26	0.817
Line Profile Sample 28 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	1927.65	2	2.41	27	0.848
Line Profile Sample 29 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	2119.42	2	2.5	28	0.88
Line Profile Sample 30 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	2500.99	2	2.59	29	0.911
Line Profile Sample 31 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	2712.16	2	2.68	30	0.943
Line Profile Sample 32 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	2680.41	2	2.77	31	0.974
Line Profile Sample 33 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 10	2493	2	2.84	31.83	1
