
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1193	3	0	0	0
Line Profile Sample 2 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1387.6	3	0.0894	1	0.0445
Line Profile Sample 3 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1414.04	3	0.179	2	0.089
Line Profile Sample 4 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1493.58	3	0.268	3	0.133
Line Profile Sample 5 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1559.99	3	0.357	4	0.178
Line Profile Sample 6 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1614.21	3	0.447	5	0.222
Line Profile Sample 7 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1624.73	3	0.536	6	0.267
Line Profile Sample 8 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1639.09	3	0.626	7	0.311
Line Profile Sample 9 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1664.1	3	0.715	8	0.356
Line Profile Sample 10 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1664.72	3	0.804	9	0.4
Line Profile Sample 11 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1704.63	3	0.894	10	0.445
Line Profile Sample 12 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1686.94	3	0.983	11	0.489
Line Profile Sample 13 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1698.53	3	1.07	12	0.534
Line Profile Sample 14 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1724.47	3	1.16	13	0.578
Line Profile Sample 15 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1688.22	3	1.25	14	0.623
Line Profile Sample 16 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1710.64	3	1.34	15	0.667
Line Profile Sample 17 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1926.13	3	1.43	16	0.712
Line Profile Sample 18 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	2241.18	3	1.52	17	0.756
Line Profile Sample 19 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	2415.17	3	1.61	18	0.801
Line Profile Sample 20 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	2465.36	3	1.7	19	0.845
Line Profile Sample 21 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	2470.2	3	1.79	20	0.89
Line Profile Sample 22 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	2150.43	3	1.88	21	0.934
Line Profile Sample 23 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1811.41	3	1.97	22	0.979
Line Profile Sample 24 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 10	1677	3	2.01	22.47	1
