
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1070	4	0	0	0
Line Profile Sample 2 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1110.15	4	0.0894	1	0.0301
Line Profile Sample 3 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1124.6	4	0.179	2	0.0602
Line Profile Sample 4 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1179.05	4	0.268	3	0.0902
Line Profile Sample 5 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1181.24	4	0.357	4	0.12
Line Profile Sample 6 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1216.72	4	0.447	5	0.15
Line Profile Sample 7 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1202.77	4	0.536	6	0.18
Line Profile Sample 8 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1190.31	4	0.626	7	0.211
Line Profile Sample 9 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1182.27	4	0.715	8	0.241
Line Profile Sample 10 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1169.99	4	0.804	9	0.271
Line Profile Sample 11 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1217.16	4	0.894	10	0.301
Line Profile Sample 12 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1210.52	4	0.983	11	0.331
Line Profile Sample 13 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1188.22	4	1.07	12	0.361
Line Profile Sample 14 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1190.69	4	1.16	13	0.391
Line Profile Sample 15 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1171.31	4	1.25	14	0.421
Line Profile Sample 16 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1233.36	4	1.34	15	0.451
Line Profile Sample 17 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1210.95	4	1.43	16	0.481
Line Profile Sample 18 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1279.62	4	1.52	17	0.511
Line Profile Sample 19 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1253.52	4	1.61	18	0.541
Line Profile Sample 20 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1218.77	4	1.7	19	0.572
Line Profile Sample 21 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1190.25	4	1.79	20	0.602
Line Profile Sample 22 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1235.81	4	1.88	21	0.632
Line Profile Sample 23 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1270.9	4	1.97	22	0.662
Line Profile Sample 24 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1291.18	4	2.06	23	0.692
Line Profile Sample 25 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1275.3	4	2.14	24	0.722
Line Profile Sample 26 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1218.48	4	2.23	25	0.752
Line Profile Sample 27 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1236.57	4	2.32	26	0.782
Line Profile Sample 28 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1301.75	4	2.41	27	0.812
Line Profile Sample 29 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1364.46	4	2.5	28	0.842
Line Profile Sample 30 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1499.03	4	2.59	29	0.872
Line Profile Sample 31 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1713.68	4	2.68	30	0.902
Line Profile Sample 32 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1885.34	4	2.77	31	0.933
Line Profile Sample 33 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1973.44	4	2.86	32	0.963
Line Profile Sample 34 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1827.45	4	2.95	33	0.993
Line Profile Sample 35 for Lines 4	Lines 4 Profile Sample	Line Profile Sample	 10	1778	4	2.97	33.24	1
