
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	1332	5	0	0	0
Line Profile Sample 2 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	1507.79	5	0.0894	1	0.0336
Line Profile Sample 3 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	1735.89	5	0.179	2	0.0673
Line Profile Sample 4 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	1912.34	5	0.268	3	0.101
Line Profile Sample 5 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2014.81	5	0.357	4	0.135
Line Profile Sample 6 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2072.6	5	0.447	5	0.168
Line Profile Sample 7 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2122.9	5	0.536	6	0.202
Line Profile Sample 8 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2121.08	5	0.626	7	0.235
Line Profile Sample 9 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2168.5	5	0.715	8	0.269
Line Profile Sample 10 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2192.64	5	0.804	9	0.303
Line Profile Sample 11 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2205.84	5	0.894	10	0.336
Line Profile Sample 12 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2228.97	5	0.983	11	0.37
Line Profile Sample 13 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2251.81	5	1.07	12	0.404
Line Profile Sample 14 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2239.55	5	1.16	13	0.437
Line Profile Sample 15 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2237.18	5	1.25	14	0.471
Line Profile Sample 16 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2184.76	5	1.34	15	0.505
Line Profile Sample 17 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2180.02	5	1.43	16	0.538
Line Profile Sample 18 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2282.28	5	1.52	17	0.572
Line Profile Sample 19 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2242.52	5	1.61	18	0.605
Line Profile Sample 20 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2260.06	5	1.7	19	0.639
Line Profile Sample 21 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2222.39	5	1.79	20	0.673
Line Profile Sample 22 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2239.26	5	1.88	21	0.706
Line Profile Sample 23 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2187.72	5	1.97	22	0.74
Line Profile Sample 24 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2156.74	5	2.06	23	0.774
Line Profile Sample 25 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2139	5	2.14	24	0.807
Line Profile Sample 26 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2225.81	5	2.23	25	0.841
Line Profile Sample 27 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2319.31	5	2.32	26	0.874
Line Profile Sample 28 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2362.89	5	2.41	27	0.908
Line Profile Sample 29 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2367.08	5	2.5	28	0.942
Line Profile Sample 30 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	2203.59	5	2.59	29	0.975
Line Profile Sample 31 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 10	1983	5	2.66	29.73	1
