
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	948	6	0	0	0
Line Profile Sample 2 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1066.99	6	0.0894	1	0.0372
Line Profile Sample 3 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1195.82	6	0.179	2	0.0743
Line Profile Sample 4 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1384.21	6	0.268	3	0.111
Line Profile Sample 5 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1583.66	6	0.357	4	0.149
Line Profile Sample 6 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1622.93	6	0.447	5	0.186
Line Profile Sample 7 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1535.18	6	0.536	6	0.223
Line Profile Sample 8 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1424.37	6	0.626	7	0.26
Line Profile Sample 9 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1336.67	6	0.715	8	0.297
Line Profile Sample 10 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1355.46	6	0.804	9	0.334
Line Profile Sample 11 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1375.33	6	0.894	10	0.372
Line Profile Sample 12 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1415.04	6	0.983	11	0.409
Line Profile Sample 13 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1470.38	6	1.07	12	0.446
Line Profile Sample 14 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1483.38	6	1.16	13	0.483
Line Profile Sample 15 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1363.31	6	1.25	14	0.52
Line Profile Sample 16 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1243.48	6	1.34	15	0.557
Line Profile Sample 17 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1172.02	6	1.43	16	0.595
Line Profile Sample 18 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1201.19	6	1.52	17	0.632
Line Profile Sample 19 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1200.3	6	1.61	18	0.669
Line Profile Sample 20 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1217.81	6	1.7	19	0.706
Line Profile Sample 21 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1235.8	6	1.79	20	0.743
Line Profile Sample 22 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1240.25	6	1.88	21	0.78
Line Profile Sample 23 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1310.53	6	1.97	22	0.818
Line Profile Sample 24 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1589.39	6	2.06	23	0.855
Line Profile Sample 25 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1885.98	6	2.14	24	0.892
Line Profile Sample 26 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1933.2	6	2.23	25	0.929
Line Profile Sample 27 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1716.46	6	2.32	26	0.966
Line Profile Sample 28 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 10	1294	6	2.4	26.91	1
