
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1016	7	0	0	0
Line Profile Sample 2 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1051.36	7	0.0894	1	0.0454
Line Profile Sample 3 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1113.89	7	0.179	2	0.0908
Line Profile Sample 4 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1157	7	0.268	3	0.136
Line Profile Sample 5 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1133.51	7	0.357	4	0.182
Line Profile Sample 6 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1255.01	7	0.447	5	0.227
Line Profile Sample 7 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1243.94	7	0.536	6	0.272
Line Profile Sample 8 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1217.62	7	0.626	7	0.318
Line Profile Sample 9 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1228.25	7	0.715	8	0.363
Line Profile Sample 10 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1188.93	7	0.804	9	0.409
Line Profile Sample 11 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1203.98	7	0.894	10	0.454
Line Profile Sample 12 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1256.86	7	0.983	11	0.499
Line Profile Sample 13 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1204.18	7	1.07	12	0.545
Line Profile Sample 14 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1193.02	7	1.16	13	0.59
Line Profile Sample 15 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1192.13	7	1.25	14	0.636
Line Profile Sample 16 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1239.89	7	1.34	15	0.681
Line Profile Sample 17 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1246.4	7	1.43	16	0.727
Line Profile Sample 18 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1252.81	7	1.52	17	0.772
Line Profile Sample 19 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1296.63	7	1.61	18	0.817
Line Profile Sample 20 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1425.01	7	1.7	19	0.863
Line Profile Sample 21 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1470.55	7	1.79	20	0.908
Line Profile Sample 22 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1438.73	7	1.88	21	0.954
Line Profile Sample 23 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1426.68	7	1.97	22	0.999
Line Profile Sample 24 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 10	1426	7	1.97	22.02	1
