
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	721	8	0	0	0
Line Profile Sample 2 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	893.4	8	0.0894	1	0.0347
Line Profile Sample 3 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1091.94	8	0.179	2	0.0693
Line Profile Sample 4 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1339.96	8	0.268	3	0.104
Line Profile Sample 5 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1505.25	8	0.357	4	0.139
Line Profile Sample 6 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1617.43	8	0.447	5	0.173
Line Profile Sample 7 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1552.94	8	0.536	6	0.208
Line Profile Sample 8 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1438.83	8	0.626	7	0.243
Line Profile Sample 9 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1374.3	8	0.715	8	0.277
Line Profile Sample 10 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1279.84	8	0.804	9	0.312
Line Profile Sample 11 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1248.11	8	0.894	10	0.347
Line Profile Sample 12 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1234.77	8	0.983	11	0.381
Line Profile Sample 13 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1208.4	8	1.07	12	0.416
Line Profile Sample 14 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1256.29	8	1.16	13	0.451
Line Profile Sample 15 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1314.23	8	1.25	14	0.485
Line Profile Sample 16 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1330.3	8	1.34	15	0.52
Line Profile Sample 17 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1404.1	8	1.43	16	0.555
Line Profile Sample 18 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1361.39	8	1.52	17	0.589
Line Profile Sample 19 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1273.67	8	1.61	18	0.624
Line Profile Sample 20 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1335.91	8	1.7	19	0.659
Line Profile Sample 21 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1306.34	8	1.79	20	0.693
Line Profile Sample 22 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1220.43	8	1.88	21	0.728
Line Profile Sample 23 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1254.64	8	1.97	22	0.763
Line Profile Sample 24 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1389.46	8	2.06	23	0.797
Line Profile Sample 25 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1696.06	8	2.14	24	0.832
Line Profile Sample 26 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1879.21	8	2.23	25	0.867
Line Profile Sample 27 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	2052.39	8	2.32	26	0.901
Line Profile Sample 28 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1914.18	8	2.41	27	0.936
Line Profile Sample 29 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1694.62	8	2.5	28	0.971
Line Profile Sample 30 for Lines 8	Lines 8 Profile Sample	Line Profile Sample	 11	1371	8	2.58	28.84	1
