
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	928	9	0	0	0
Line Profile Sample 2 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1025.3	9	0.0894	1	0.0456
Line Profile Sample 3 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1103.34	9	0.179	2	0.0912
Line Profile Sample 4 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1094.56	9	0.268	3	0.137
Line Profile Sample 5 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1151.03	9	0.357	4	0.182
Line Profile Sample 6 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1134.56	9	0.447	5	0.228
Line Profile Sample 7 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1147.41	9	0.536	6	0.274
Line Profile Sample 8 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1198.13	9	0.626	7	0.319
Line Profile Sample 9 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1218.31	9	0.715	8	0.365
Line Profile Sample 10 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1181.47	9	0.804	9	0.41
Line Profile Sample 11 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1149.23	9	0.894	10	0.456
Line Profile Sample 12 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1168.28	9	0.983	11	0.502
Line Profile Sample 13 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1156.27	9	1.07	12	0.547
Line Profile Sample 14 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1131	9	1.16	13	0.593
Line Profile Sample 15 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1115.98	9	1.25	14	0.638
Line Profile Sample 16 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1214.92	9	1.34	15	0.684
Line Profile Sample 17 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1156.66	9	1.43	16	0.73
Line Profile Sample 18 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1283.21	9	1.52	17	0.775
Line Profile Sample 19 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1450.41	9	1.61	18	0.821
Line Profile Sample 20 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1660.02	9	1.7	19	0.866
Line Profile Sample 21 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1653.1	9	1.79	20	0.912
Line Profile Sample 22 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	1342.92	9	1.88	21	0.958
Line Profile Sample 23 for Lines 9	Lines 9 Profile Sample	Line Profile Sample	 11	921	9	1.96	21.93	1
