
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	640	10	0	0	0
Line Profile Sample 2 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	692.37	10	0.0894	1	0.0296
Line Profile Sample 3 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	721.85	10	0.179	2	0.0591
Line Profile Sample 4 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	796.51	10	0.268	3	0.0887
Line Profile Sample 5 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	771.26	10	0.357	4	0.118
Line Profile Sample 6 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	768.71	10	0.447	5	0.148
Line Profile Sample 7 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	793.54	10	0.536	6	0.177
Line Profile Sample 8 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	779.86	10	0.626	7	0.207
Line Profile Sample 9 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	767.61	10	0.715	8	0.236
Line Profile Sample 10 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	771.69	10	0.804	9	0.266
Line Profile Sample 11 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	781.11	10	0.894	10	0.296
Line Profile Sample 12 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	797.13	10	0.983	11	0.325
Line Profile Sample 13 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	793.76	10	1.07	12	0.355
Line Profile Sample 14 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	833.5	10	1.16	13	0.384
Line Profile Sample 15 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	832.33	10	1.25	14	0.414
Line Profile Sample 16 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	812.2	10	1.34	15	0.443
Line Profile Sample 17 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	787.52	10	1.43	16	0.473
Line Profile Sample 18 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	783.93	10	1.52	17	0.502
Line Profile Sample 19 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	769.8	10	1.61	18	0.532
Line Profile Sample 20 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	789.63	10	1.7	19	0.562
Line Profile Sample 21 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	777.4	10	1.79	20	0.591
Line Profile Sample 22 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	821.65	10	1.88	21	0.621
Line Profile Sample 23 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	819	10	1.97	22	0.65
Line Profile Sample 24 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	860.17	10	2.06	23	0.68
Line Profile Sample 25 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	875.13	10	2.14	24	0.709
Line Profile Sample 26 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	928.76	10	2.23	25	0.739
Line Profile Sample 27 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	1006.48	10	2.32	26	0.768
Line Profile Sample 28 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	1106.84	10	2.41	27	0.798
Line Profile Sample 29 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	1190.05	10	2.5	28	0.827
Line Profile Sample 30 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	1166.14	10	2.59	29	0.857
Line Profile Sample 31 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	1099.19	10	2.68	30	0.887
Line Profile Sample 32 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	969.48	10	2.77	31	0.916
Line Profile Sample 33 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	793.61	10	2.86	32	0.946
Line Profile Sample 34 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	696.77	10	2.95	33	0.975
Line Profile Sample 35 for Lines 10	Lines 10 Profile Sample	Line Profile Sample	 11	637	10	3.02	33.84	1
