
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	548	11	0	0	0
Line Profile Sample 2 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	612.09	11	0.0894	1	0.0447
Line Profile Sample 3 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	676.4	11	0.179	2	0.0894
Line Profile Sample 4 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	805.87	11	0.268	3	0.134
Line Profile Sample 5 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	855	11	0.357	4	0.179
Line Profile Sample 6 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	881.51	11	0.447	5	0.224
Line Profile Sample 7 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	924.07	11	0.536	6	0.268
Line Profile Sample 8 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	956.45	11	0.626	7	0.313
Line Profile Sample 9 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	920.06	11	0.715	8	0.358
Line Profile Sample 10 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	912.09	11	0.804	9	0.402
Line Profile Sample 11 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	932.43	11	0.894	10	0.447
Line Profile Sample 12 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	899.53	11	0.983	11	0.492
Line Profile Sample 13 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	936.18	11	1.07	12	0.537
Line Profile Sample 14 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	912.22	11	1.16	13	0.581
Line Profile Sample 15 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	910.73	11	1.25	14	0.626
Line Profile Sample 16 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	921.17	11	1.34	15	0.671
Line Profile Sample 17 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	941.93	11	1.43	16	0.716
Line Profile Sample 18 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	925.16	11	1.52	17	0.76
Line Profile Sample 19 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	976.59	11	1.61	18	0.805
Line Profile Sample 20 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	1104.48	11	1.7	19	0.85
Line Profile Sample 21 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	1146.78	11	1.79	20	0.894
Line Profile Sample 22 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	974.94	11	1.88	21	0.939
Line Profile Sample 23 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	771.99	11	1.97	22	0.984
Line Profile Sample 24 for Lines 11	Lines 11 Profile Sample	Line Profile Sample	 11	699	11	2	22.36	1
