
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	530	12	0	0	0
Line Profile Sample 2 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	594.15	12	0.0894	1	0.0362
Line Profile Sample 3 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	646.75	12	0.179	2	0.0725
Line Profile Sample 4 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	730.43	12	0.268	3	0.109
Line Profile Sample 5 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	776.99	12	0.357	4	0.145
Line Profile Sample 6 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	830.11	12	0.447	5	0.181
Line Profile Sample 7 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	876.51	12	0.536	6	0.217
Line Profile Sample 8 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	871.78	12	0.626	7	0.254
Line Profile Sample 9 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	865.69	12	0.715	8	0.29
Line Profile Sample 10 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	848.93	12	0.804	9	0.326
Line Profile Sample 11 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	821.54	12	0.894	10	0.362
Line Profile Sample 12 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	832.93	12	0.983	11	0.399
Line Profile Sample 13 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	859.5	12	1.07	12	0.435
Line Profile Sample 14 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	827.87	12	1.16	13	0.471
Line Profile Sample 15 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	841.84	12	1.25	14	0.507
Line Profile Sample 16 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	903.12	12	1.34	15	0.544
Line Profile Sample 17 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	846.16	12	1.43	16	0.58
Line Profile Sample 18 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	858.59	12	1.52	17	0.616
Line Profile Sample 19 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	862.77	12	1.61	18	0.652
Line Profile Sample 20 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	857	12	1.7	19	0.689
Line Profile Sample 21 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	837.28	12	1.79	20	0.725
Line Profile Sample 22 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	854.95	12	1.88	21	0.761
Line Profile Sample 23 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	855.4	12	1.97	22	0.797
Line Profile Sample 24 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	781.31	12	2.06	23	0.834
Line Profile Sample 25 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	764.55	12	2.14	24	0.87
Line Profile Sample 26 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	695.43	12	2.23	25	0.906
Line Profile Sample 27 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	582.24	12	2.32	26	0.942
Line Profile Sample 28 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	554.59	12	2.41	27	0.979
Line Profile Sample 29 for Lines 12	Lines 12 Profile Sample	Line Profile Sample	 11	571	12	2.47	27.59	1
