
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	1045	13	0	0	0
Line Profile Sample 2 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	1348.46	13	0.0894	1	0.0413
Line Profile Sample 3 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	1751.29	13	0.179	2	0.0827
Line Profile Sample 4 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2157.75	13	0.268	3	0.124
Line Profile Sample 5 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2462.21	13	0.357	4	0.165
Line Profile Sample 6 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2612.59	13	0.447	5	0.207
Line Profile Sample 7 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2674.32	13	0.536	6	0.248
Line Profile Sample 8 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2695.85	13	0.626	7	0.289
Line Profile Sample 9 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2779.32	13	0.715	8	0.331
Line Profile Sample 10 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2811.64	13	0.804	9	0.372
Line Profile Sample 11 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2741.56	13	0.894	10	0.413
Line Profile Sample 12 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2845.52	13	0.983	11	0.455
Line Profile Sample 13 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2817.7	13	1.07	12	0.496
Line Profile Sample 14 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2759.01	13	1.16	13	0.537
Line Profile Sample 15 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2807.22	13	1.25	14	0.579
Line Profile Sample 16 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2748.17	13	1.34	15	0.62
Line Profile Sample 17 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2708.27	13	1.43	16	0.662
Line Profile Sample 18 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2720.28	13	1.52	17	0.703
Line Profile Sample 19 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2799.1	13	1.61	18	0.744
Line Profile Sample 20 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	3045.72	13	1.7	19	0.786
Line Profile Sample 21 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	3330.09	13	1.79	20	0.827
Line Profile Sample 22 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	3664.12	13	1.88	21	0.868
Line Profile Sample 23 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	3626.54	13	1.97	22	0.91
Line Profile Sample 24 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	3238.4	13	2.06	23	0.951
Line Profile Sample 25 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2805.64	13	2.14	24	0.992
Line Profile Sample 26 for Lines 13	Lines 13 Profile Sample	Line Profile Sample	 15	2721	13	2.16	24.19	1
