
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1731	14	0	0	0
Line Profile Sample 2 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1857.59	14	0.0894	1	0.0346
Line Profile Sample 3 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2127.91	14	0.179	2	0.0693
Line Profile Sample 4 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2266.93	14	0.268	3	0.104
Line Profile Sample 5 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2247.8	14	0.357	4	0.139
Line Profile Sample 6 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2165.96	14	0.447	5	0.173
Line Profile Sample 7 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2098.67	14	0.536	6	0.208
Line Profile Sample 8 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2076.88	14	0.626	7	0.243
Line Profile Sample 9 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2037.35	14	0.715	8	0.277
Line Profile Sample 10 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1992.53	14	0.804	9	0.312
Line Profile Sample 11 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1912.76	14	0.894	10	0.346
Line Profile Sample 12 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1888.66	14	0.983	11	0.381
Line Profile Sample 13 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1904.93	14	1.07	12	0.416
Line Profile Sample 14 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1894.05	14	1.16	13	0.45
Line Profile Sample 15 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1831.28	14	1.25	14	0.485
Line Profile Sample 16 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1810.77	14	1.34	15	0.52
Line Profile Sample 17 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1867.11	14	1.43	16	0.554
Line Profile Sample 18 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1907.88	14	1.52	17	0.589
Line Profile Sample 19 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1911.81	14	1.61	18	0.624
Line Profile Sample 20 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1934.39	14	1.7	19	0.658
Line Profile Sample 21 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1917.79	14	1.79	20	0.693
Line Profile Sample 22 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	1920.69	14	1.88	21	0.728
Line Profile Sample 23 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2005.18	14	1.97	22	0.762
Line Profile Sample 24 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2102.37	14	2.06	23	0.797
Line Profile Sample 25 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2218.84	14	2.14	24	0.832
Line Profile Sample 26 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2299.25	14	2.23	25	0.866
Line Profile Sample 27 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2348.41	14	2.32	26	0.901
Line Profile Sample 28 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2287.57	14	2.41	27	0.935
Line Profile Sample 29 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2143.56	14	2.5	28	0.97
Line Profile Sample 30 for Lines 14	Lines 14 Profile Sample	Line Profile Sample	 15	2017	14	2.58	28.86	1
