
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1399	15	0	0	0
Line Profile Sample 2 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1647.72	15	0.0894	1	0.0221
Line Profile Sample 3 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1910.25	15	0.179	2	0.0441
Line Profile Sample 4 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	2133.49	15	0.268	3	0.0662
Line Profile Sample 5 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	2311.55	15	0.357	4	0.0882
Line Profile Sample 6 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	2245.92	15	0.447	5	0.11
Line Profile Sample 7 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1982.01	15	0.536	6	0.132
Line Profile Sample 8 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1720.31	15	0.626	7	0.154
Line Profile Sample 9 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1608.25	15	0.715	8	0.176
Line Profile Sample 10 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1604.45	15	0.804	9	0.198
Line Profile Sample 11 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1622.09	15	0.894	10	0.221
Line Profile Sample 12 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1691.17	15	0.983	11	0.243
Line Profile Sample 13 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1739.36	15	1.07	12	0.265
Line Profile Sample 14 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1778.15	15	1.16	13	0.287
Line Profile Sample 15 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1761.54	15	1.25	14	0.309
Line Profile Sample 16 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1740.01	15	1.34	15	0.331
Line Profile Sample 17 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1755.13	15	1.43	16	0.353
Line Profile Sample 18 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1747.33	15	1.52	17	0.375
Line Profile Sample 19 for Lines 15	Lines 15 Profile Sample	Line Profile Sample	 15	1746.23	15	1.61	18	0.397
