
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	951	16	0	0	0
Line Profile Sample 2 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1019.28	16	0.0894	1	0.029
Line Profile Sample 3 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1222.32	16	0.179	2	0.058
Line Profile Sample 4 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1524.55	16	0.268	3	0.087
Line Profile Sample 5 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1986.17	16	0.357	4	0.116
Line Profile Sample 6 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2107.69	16	0.447	5	0.145
Line Profile Sample 7 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2033.4	16	0.536	6	0.174
Line Profile Sample 8 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1833.19	16	0.626	7	0.203
Line Profile Sample 9 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1616.64	16	0.715	8	0.232
Line Profile Sample 10 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1586.7	16	0.804	9	0.261
Line Profile Sample 11 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1606.61	16	0.894	10	0.29
Line Profile Sample 12 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1578.12	16	0.983	11	0.319
Line Profile Sample 13 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1558.49	16	1.07	12	0.348
Line Profile Sample 14 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1582.12	16	1.16	13	0.377
Line Profile Sample 15 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1604.83	16	1.25	14	0.406
Line Profile Sample 16 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1573.53	16	1.34	15	0.435
Line Profile Sample 17 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1533.06	16	1.43	16	0.464
Line Profile Sample 18 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1581.68	16	1.52	17	0.493
Line Profile Sample 19 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1607.63	16	1.61	18	0.522
Line Profile Sample 20 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1642.6	16	1.7	19	0.551
Line Profile Sample 21 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1648.58	16	1.79	20	0.58
Line Profile Sample 22 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1719.54	16	1.88	21	0.609
Line Profile Sample 23 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1807.21	16	1.97	22	0.638
Line Profile Sample 24 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1810.89	16	2.06	23	0.667
Line Profile Sample 25 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1850.1	16	2.14	24	0.696
Line Profile Sample 26 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1922.18	16	2.23	25	0.725
Line Profile Sample 27 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	1970.37	16	2.32	26	0.754
Line Profile Sample 28 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2022.27	16	2.41	27	0.783
Line Profile Sample 29 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2028.5	16	2.5	28	0.812
Line Profile Sample 30 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2092.13	16	2.59	29	0.841
Line Profile Sample 31 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2341.36	16	2.68	30	0.87
Line Profile Sample 32 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2667.18	16	2.77	31	0.899
Line Profile Sample 33 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2894.72	16	2.86	32	0.928
Line Profile Sample 34 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2913.02	16	2.95	33	0.957
Line Profile Sample 35 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2596.07	16	3.04	34	0.986
Line Profile Sample 36 for Lines 16	Lines 16 Profile Sample	Line Profile Sample	 15	2306	16	3.08	34.48	1
