
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	1617	17	0	0	0
Line Profile Sample 2 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	1863.21	17	0.0894	1	0.0379
Line Profile Sample 3 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2243.66	17	0.179	2	0.0757
Line Profile Sample 4 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2341.32	17	0.268	3	0.114
Line Profile Sample 5 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2315.34	17	0.357	4	0.151
Line Profile Sample 6 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2134.28	17	0.447	5	0.189
Line Profile Sample 7 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2097.03	17	0.536	6	0.227
Line Profile Sample 8 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2070.92	17	0.626	7	0.265
Line Profile Sample 9 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2137.89	17	0.715	8	0.303
Line Profile Sample 10 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2122.51	17	0.804	9	0.341
Line Profile Sample 11 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2081.39	17	0.894	10	0.379
Line Profile Sample 12 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2092.36	17	0.983	11	0.416
Line Profile Sample 13 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2134.55	17	1.07	12	0.454
Line Profile Sample 14 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2099.95	17	1.16	13	0.492
Line Profile Sample 15 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2035.4	17	1.25	14	0.53
Line Profile Sample 16 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2077.66	17	1.34	15	0.568
Line Profile Sample 17 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	1961.8	17	1.43	16	0.606
Line Profile Sample 18 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2003.49	17	1.52	17	0.643
Line Profile Sample 19 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2049.62	17	1.61	18	0.681
Line Profile Sample 20 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2153.73	17	1.7	19	0.719
Line Profile Sample 21 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2214.45	17	1.79	20	0.757
Line Profile Sample 22 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2187.23	17	1.88	21	0.795
Line Profile Sample 23 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2106.12	17	1.97	22	0.833
Line Profile Sample 24 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2145.03	17	2.06	23	0.871
Line Profile Sample 25 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2040.08	17	2.14	24	0.908
Line Profile Sample 26 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2185.41	17	2.23	25	0.946
Line Profile Sample 27 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2328.04	17	2.32	26	0.984
Line Profile Sample 28 for Lines 17	Lines 17 Profile Sample	Line Profile Sample	 15	2355	17	2.36	26.42	1
