
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1133	18	0	0	0
Line Profile Sample 2 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1427	18	0.0894	1	0.04
Line Profile Sample 3 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2041	18	0.179	2	0.08
Line Profile Sample 4 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2470	18	0.268	3	0.12
Line Profile Sample 5 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2665	18	0.357	4	0.16
Line Profile Sample 6 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2266	18	0.447	5	0.2
Line Profile Sample 7 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1877	18	0.536	6	0.24
Line Profile Sample 8 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1441	18	0.626	7	0.28
Line Profile Sample 9 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1412	18	0.715	8	0.32
Line Profile Sample 10 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1403	18	0.804	9	0.36
Line Profile Sample 11 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1415	18	0.894	10	0.4
Line Profile Sample 12 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1529	18	0.983	11	0.44
Line Profile Sample 13 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1735	18	1.07	12	0.48
Line Profile Sample 14 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2019	18	1.16	13	0.52
Line Profile Sample 15 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2352	18	1.25	14	0.56
Line Profile Sample 16 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2422	18	1.34	15	0.6
Line Profile Sample 17 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2123	18	1.43	16	0.64
Line Profile Sample 18 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1782	18	1.52	17	0.68
Line Profile Sample 19 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1626	18	1.61	18	0.72
Line Profile Sample 20 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1708	18	1.7	19	0.76
Line Profile Sample 21 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1868	18	1.79	20	0.8
Line Profile Sample 22 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2111	18	1.88	21	0.84
Line Profile Sample 23 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2280	18	1.97	22	0.88
Line Profile Sample 24 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	2003	18	2.06	23	0.92
Line Profile Sample 25 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1816	18	2.14	24	0.96
Line Profile Sample 26 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1336	18	2.23	25	1
Line Profile Sample 27 for Lines 18	Lines 18 Profile Sample	Line Profile Sample	 15	1336	18	2.23	25	1
