
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1021	19	0	0	0
Line Profile Sample 2 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1024.61	19	0.0894	1	0.0371
Line Profile Sample 3 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1015.73	19	0.179	2	0.0743
Line Profile Sample 4 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1004.91	19	0.268	3	0.111
Line Profile Sample 5 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1047.52	19	0.357	4	0.149
Line Profile Sample 6 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1049.23	19	0.447	5	0.186
Line Profile Sample 7 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1078.46	19	0.536	6	0.223
Line Profile Sample 8 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1100.81	19	0.626	7	0.26
Line Profile Sample 9 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1108.98	19	0.715	8	0.297
Line Profile Sample 10 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1085.08	19	0.804	9	0.334
Line Profile Sample 11 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1061.93	19	0.894	10	0.371
Line Profile Sample 12 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1075.46	19	0.983	11	0.409
Line Profile Sample 13 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1089.52	19	1.07	12	0.446
Line Profile Sample 14 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1074.54	19	1.16	13	0.483
Line Profile Sample 15 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1131.32	19	1.25	14	0.52
Line Profile Sample 16 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1068.36	19	1.34	15	0.557
Line Profile Sample 17 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1107.25	19	1.43	16	0.594
Line Profile Sample 18 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1124.7	19	1.52	17	0.631
Line Profile Sample 19 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1107.1	19	1.61	18	0.669
Line Profile Sample 20 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1153.81	19	1.7	19	0.706
Line Profile Sample 21 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1230.96	19	1.79	20	0.743
Line Profile Sample 22 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1333.63	19	1.88	21	0.78
Line Profile Sample 23 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1380.42	19	1.97	22	0.817
Line Profile Sample 24 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1380.97	19	2.06	23	0.854
Line Profile Sample 25 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1335.69	19	2.14	24	0.891
Line Profile Sample 26 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1197.01	19	2.23	25	0.928
Line Profile Sample 27 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	1084.29	19	2.32	26	0.966
Line Profile Sample 28 for Lines 19	Lines 19 Profile Sample	Line Profile Sample	 15	967	19	2.41	26.93	1
