
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1562	20	0	0	0
Line Profile Sample 2 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1779.63	20	0.0894	1	0.0381
Line Profile Sample 3 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1792.06	20	0.179	2	0.0762
Line Profile Sample 4 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1818.83	20	0.268	3	0.114
Line Profile Sample 5 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1817.57	20	0.357	4	0.152
Line Profile Sample 6 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1907.66	20	0.447	5	0.19
Line Profile Sample 7 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1925.83	20	0.536	6	0.229
Line Profile Sample 8 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1900.06	20	0.626	7	0.267
Line Profile Sample 9 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1847.61	20	0.715	8	0.305
Line Profile Sample 10 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1855.27	20	0.804	9	0.343
Line Profile Sample 11 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1864.47	20	0.894	10	0.381
Line Profile Sample 12 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1813.45	20	0.983	11	0.419
Line Profile Sample 13 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1816.76	20	1.07	12	0.457
Line Profile Sample 14 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1869.71	20	1.16	13	0.495
Line Profile Sample 15 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1822.11	20	1.25	14	0.533
Line Profile Sample 16 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1817.79	20	1.34	15	0.571
Line Profile Sample 17 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1818.35	20	1.43	16	0.61
Line Profile Sample 18 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1824.09	20	1.52	17	0.648
Line Profile Sample 19 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1788.27	20	1.61	18	0.686
Line Profile Sample 20 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1731.17	20	1.7	19	0.724
Line Profile Sample 21 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1658.54	20	1.79	20	0.762
Line Profile Sample 22 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1658.25	20	1.88	21	0.8
Line Profile Sample 23 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1616.71	20	1.97	22	0.838
Line Profile Sample 24 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1546.13	20	2.06	23	0.876
Line Profile Sample 25 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1378.26	20	2.14	24	0.914
Line Profile Sample 26 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	1128.92	20	2.23	25	0.952
Line Profile Sample 27 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	992.2	20	2.32	26	0.991
Line Profile Sample 28 for Lines 20	Lines 20 Profile Sample	Line Profile Sample	 15	969	20	2.35	26.25	1
