
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	844	21	0	0	0
Line Profile Sample 2 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	889.97	21	0.0894	1	0.0438
Line Profile Sample 3 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	934.63	21	0.179	2	0.0876
Line Profile Sample 4 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	999.39	21	0.268	3	0.131
Line Profile Sample 5 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	998.09	21	0.357	4	0.175
Line Profile Sample 6 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1014.5	21	0.447	5	0.219
Line Profile Sample 7 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1019.98	21	0.536	6	0.263
Line Profile Sample 8 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1115.02	21	0.626	7	0.307
Line Profile Sample 9 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1190.01	21	0.715	8	0.35
Line Profile Sample 10 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1152.61	21	0.804	9	0.394
Line Profile Sample 11 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1098.88	21	0.894	10	0.438
Line Profile Sample 12 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1154.44	21	0.983	11	0.482
Line Profile Sample 13 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1178.1	21	1.07	12	0.526
Line Profile Sample 14 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1156.99	21	1.16	13	0.57
Line Profile Sample 15 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1109.67	21	1.25	14	0.613
Line Profile Sample 16 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1117.13	21	1.34	15	0.657
Line Profile Sample 17 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1089.23	21	1.43	16	0.701
Line Profile Sample 18 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1160.72	21	1.52	17	0.745
Line Profile Sample 19 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1217.57	21	1.61	18	0.789
Line Profile Sample 20 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1291.17	21	1.7	19	0.832
Line Profile Sample 21 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1334.18	21	1.79	20	0.876
Line Profile Sample 22 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1328.4	21	1.88	21	0.92
Line Profile Sample 23 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1271.05	21	1.97	22	0.964
Line Profile Sample 24 for Lines 21	Lines 21 Profile Sample	Line Profile Sample	 15	1210	21	2.04	22.83	1
