
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	886	22	0	0	0
Line Profile Sample 2 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	908.32	22	0.0894	1	0.0308
Line Profile Sample 3 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	962.73	22	0.179	2	0.0616
Line Profile Sample 4 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	931.85	22	0.268	3	0.0925
Line Profile Sample 5 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	951.08	22	0.357	4	0.123
Line Profile Sample 6 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	938.72	22	0.447	5	0.154
Line Profile Sample 7 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	936.18	22	0.536	6	0.185
Line Profile Sample 8 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	940.45	22	0.626	7	0.216
Line Profile Sample 9 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	899.85	22	0.715	8	0.247
Line Profile Sample 10 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	939.11	22	0.804	9	0.277
Line Profile Sample 11 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	979.04	22	0.894	10	0.308
Line Profile Sample 12 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1006.66	22	0.983	11	0.339
Line Profile Sample 13 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1005.34	22	1.07	12	0.37
Line Profile Sample 14 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	961.92	22	1.16	13	0.401
Line Profile Sample 15 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	983.08	22	1.25	14	0.431
Line Profile Sample 16 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	998.49	22	1.34	15	0.462
Line Profile Sample 17 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	985.42	22	1.43	16	0.493
Line Profile Sample 18 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	976.67	22	1.52	17	0.524
Line Profile Sample 19 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	962.23	22	1.61	18	0.555
Line Profile Sample 20 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1015.96	22	1.7	19	0.586
Line Profile Sample 21 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	982.23	22	1.79	20	0.616
Line Profile Sample 22 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1001.23	22	1.88	21	0.647
Line Profile Sample 23 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1008.23	22	1.97	22	0.678
Line Profile Sample 24 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	998.22	22	2.06	23	0.709
Line Profile Sample 25 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	996.89	22	2.14	24	0.74
Line Profile Sample 26 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1004.51	22	2.23	25	0.77
Line Profile Sample 27 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1063.39	22	2.32	26	0.801
Line Profile Sample 28 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1128.65	22	2.41	27	0.832
Line Profile Sample 29 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1174.19	22	2.5	28	0.863
Line Profile Sample 30 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1225.12	22	2.59	29	0.894
Line Profile Sample 31 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1146.65	22	2.68	30	0.925
Line Profile Sample 32 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	1096.64	22	2.77	31	0.955
Line Profile Sample 33 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	986.31	22	2.86	32	0.986
Line Profile Sample 34 for Lines 22	Lines 22 Profile Sample	Line Profile Sample	 15	936	22	2.9	32.45	1
