
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1643	1	0	0	0
Line Profile Sample 2 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1620.22	1	0.0894	1	0.0225
Line Profile Sample 3 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1626.58	1	0.179	2	0.0451
Line Profile Sample 4 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1702.94	1	0.268	3	0.0676
Line Profile Sample 5 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1647.09	1	0.357	4	0.0901
Line Profile Sample 6 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1666.07	1	0.447	5	0.113
Line Profile Sample 7 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1691.83	1	0.536	6	0.135
Line Profile Sample 8 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1684.12	1	0.626	7	0.158
Line Profile Sample 9 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1699.55	1	0.715	8	0.18
Line Profile Sample 10 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1649.9	1	0.804	9	0.203
Line Profile Sample 11 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1650.14	1	0.894	10	0.225
Line Profile Sample 12 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1606.72	1	0.983	11	0.248
Line Profile Sample 13 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1637.08	1	1.07	12	0.27
Line Profile Sample 14 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1637	1	1.16	13	0.293
Line Profile Sample 15 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1613.66	1	1.25	14	0.315
Line Profile Sample 16 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1604.71	1	1.34	15	0.338
Line Profile Sample 17 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1577.94	1	1.43	16	0.36
Line Profile Sample 18 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1601.53	1	1.52	17	0.383
Line Profile Sample 19 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1588.65	1	1.61	18	0.406
Line Profile Sample 20 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1565.33	1	1.7	19	0.428
Line Profile Sample 21 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1613.66	1	1.79	20	0.451
Line Profile Sample 22 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1636.06	1	1.88	21	0.473
Line Profile Sample 23 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1586.6	1	1.97	22	0.496
Line Profile Sample 24 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1619.31	1	2.06	23	0.518
Line Profile Sample 25 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1616.81	1	2.14	24	0.541
Line Profile Sample 26 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1527.15	1	2.23	25	0.563
Line Profile Sample 27 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1542.21	1	2.32	26	0.586
Line Profile Sample 28 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1636.43	1	2.41	27	0.608
Line Profile Sample 29 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1615.58	1	2.5	28	0.631
Line Profile Sample 30 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1575.7	1	2.59	29	0.653
Line Profile Sample 31 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1605.2	1	2.68	30	0.676
Line Profile Sample 32 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1621.47	1	2.77	31	0.698
Line Profile Sample 33 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1630.91	1	2.86	32	0.721
Line Profile Sample 34 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1675.83	1	2.95	33	0.743
Line Profile Sample 35 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1700.12	1	3.04	34	0.766
Line Profile Sample 36 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1623.98	1	3.13	35	0.789
Line Profile Sample 37 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1574.75	1	3.22	36	0.811
Line Profile Sample 38 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1612.43	1	3.31	37	0.834
Line Profile Sample 39 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1673.7	1	3.4	38	0.856
Line Profile Sample 40 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1743.37	1	3.49	39	0.879
Line Profile Sample 41 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1689.49	1	3.57	40	0.901
Line Profile Sample 42 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1783.84	1	3.66	41	0.924
Line Profile Sample 43 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1849.63	1	3.75	42	0.946
Line Profile Sample 44 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1928.69	1	3.84	43	0.969
Line Profile Sample 45 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	1998.69	1	3.93	44	0.991
Line Profile Sample 46 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 21	2019	1	3.97	44.38	1
