
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1614	2	0	0	0
Line Profile Sample 2 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1771.67	2	0.0894	1	0.033
Line Profile Sample 3 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1948.75	2	0.179	2	0.0661
Line Profile Sample 4 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1972.06	2	0.268	3	0.0991
Line Profile Sample 5 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1972.66	2	0.357	4	0.132
Line Profile Sample 6 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1963.8	2	0.447	5	0.165
Line Profile Sample 7 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2012.61	2	0.536	6	0.198
Line Profile Sample 8 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2022.55	2	0.626	7	0.231
Line Profile Sample 9 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2053.96	2	0.715	8	0.264
Line Profile Sample 10 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2102.61	2	0.804	9	0.297
Line Profile Sample 11 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2087.66	2	0.894	10	0.33
Line Profile Sample 12 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2112.17	2	0.983	11	0.363
Line Profile Sample 13 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2138.92	2	1.07	12	0.396
Line Profile Sample 14 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2128.9	2	1.16	13	0.43
Line Profile Sample 15 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2065.24	2	1.25	14	0.463
Line Profile Sample 16 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2061.75	2	1.34	15	0.496
Line Profile Sample 17 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2052.47	2	1.43	16	0.529
Line Profile Sample 18 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2036.61	2	1.52	17	0.562
Line Profile Sample 19 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2019.34	2	1.61	18	0.595
Line Profile Sample 20 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1994	2	1.7	19	0.628
Line Profile Sample 21 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2053.53	2	1.79	20	0.661
Line Profile Sample 22 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2042.58	2	1.88	21	0.694
Line Profile Sample 23 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1941.03	2	1.97	22	0.727
Line Profile Sample 24 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1942.36	2	2.06	23	0.76
Line Profile Sample 25 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2045.58	2	2.14	24	0.793
Line Profile Sample 26 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2162.97	2	2.23	25	0.826
Line Profile Sample 27 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2205.89	2	2.32	26	0.859
Line Profile Sample 28 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2268.92	2	2.41	27	0.892
Line Profile Sample 29 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2256.78	2	2.5	28	0.925
Line Profile Sample 30 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	2015.64	2	2.59	29	0.958
Line Profile Sample 31 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1829.5	2	2.68	30	0.991
Line Profile Sample 32 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 21	1793	2	2.7	30.27	1
