
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1066	3	0	0	0
Line Profile Sample 2 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1138.69	3	0.0894	1	0.0243
Line Profile Sample 3 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1172.38	3	0.179	2	0.0485
Line Profile Sample 4 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1179.01	3	0.268	3	0.0728
Line Profile Sample 5 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1210.8	3	0.357	4	0.097
Line Profile Sample 6 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1237.04	3	0.447	5	0.121
Line Profile Sample 7 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1222.23	3	0.536	6	0.146
Line Profile Sample 8 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1236.49	3	0.626	7	0.17
Line Profile Sample 9 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1277.81	3	0.715	8	0.194
Line Profile Sample 10 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1264.48	3	0.804	9	0.218
Line Profile Sample 11 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1248.76	3	0.894	10	0.243
Line Profile Sample 12 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1261.5	3	0.983	11	0.267
Line Profile Sample 13 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1267.78	3	1.07	12	0.291
Line Profile Sample 14 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1242.46	3	1.16	13	0.315
Line Profile Sample 15 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1238.98	3	1.25	14	0.34
Line Profile Sample 16 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1254.13	3	1.34	15	0.364
Line Profile Sample 17 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1236.01	3	1.43	16	0.388
Line Profile Sample 18 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1206.3	3	1.52	17	0.412
Line Profile Sample 19 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1234.8	3	1.61	18	0.437
Line Profile Sample 20 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1264.65	3	1.7	19	0.461
Line Profile Sample 21 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1225.44	3	1.79	20	0.485
Line Profile Sample 22 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1216.87	3	1.88	21	0.509
Line Profile Sample 23 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1221.79	3	1.97	22	0.534
Line Profile Sample 24 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1209.57	3	2.06	23	0.558
Line Profile Sample 25 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1282.87	3	2.14	24	0.582
Line Profile Sample 26 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1253.37	3	2.23	25	0.606
Line Profile Sample 27 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1261.45	3	2.32	26	0.631
Line Profile Sample 28 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1236.42	3	2.41	27	0.655
Line Profile Sample 29 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1251.51	3	2.5	28	0.679
Line Profile Sample 30 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1234.64	3	2.59	29	0.703
Line Profile Sample 31 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1215.23	3	2.68	30	0.728
Line Profile Sample 32 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1166.9	3	2.77	31	0.752
Line Profile Sample 33 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1226.89	3	2.86	32	0.776
Line Profile Sample 34 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1239.88	3	2.95	33	0.8
Line Profile Sample 35 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1232.12	3	3.04	34	0.825
Line Profile Sample 36 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1222.21	3	3.13	35	0.849
Line Profile Sample 37 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1225.75	3	3.22	36	0.873
Line Profile Sample 38 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1236.24	3	3.31	37	0.897
Line Profile Sample 39 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1202.28	3	3.4	38	0.922
Line Profile Sample 40 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1215.14	3	3.49	39	0.946
Line Profile Sample 41 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1243.1	3	3.57	40	0.97
Line Profile Sample 42 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1258.37	3	3.66	41	0.994
Line Profile Sample 43 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 16	1259	3	3.68	41.23	1
