
ID	Name	Population	Type	Item Name	Total Line Length (µm)	Start Position X	Start Position Y	End Position X	End Position Y	Intensity	Angle (degrees)	Bearing (degrees)	Line Width (µm)	Parent ID	Distance (µm)	Distance	Normalized Distance
1	Lines 1	Lines	Line	 4	2.75	56.75	73.37	58.35	75.6	N/A	144.25	144.25	0	N/A	N/A	N/A	N/A
2	Lines 2	Lines	Line	 4	4.26	63.45	81.95	66.13	85.25	N/A	140.96	140.96	0	N/A	N/A	N/A	N/A
3	Lines 3	Lines	Line	 4	3.58	105.54	78.91	105.72	75.33	N/A	2.86	2.86	0	N/A	N/A	N/A	N/A
4	Lines 4	Lines	Line	 4	2.48	71.67	48.44	72.74	50.67	N/A	154.36	154.36	0	N/A	N/A	N/A	N/A
5	Lines 5	Lines	Line	 4	1.81	65.5	48.44	65.24	50.22	N/A	171.47	188.53	0	N/A	N/A	N/A	N/A
6	Lines 6	Lines	Line	 4	1.93	56.03	46.47	54.96	48.08	N/A	146.31	213.69	0	N/A	N/A	N/A	N/A
7	Lines 7	Lines	Line	 4	2.47	34.14	86.77	36.01	88.38	N/A	130.6	130.6	0	N/A	N/A	N/A	N/A
8	Lines 8	Lines	Line	 4	1.93	89.9	74.26	88.83	72.65	N/A	33.69	326.31	0	N/A	N/A	N/A	N/A
9	Lines 9	Lines	Line	 4	1.61	89.01	71.49	90.62	71.4	N/A	86.82	86.82	0	N/A	N/A	N/A	N/A
10	Lines 10	Lines	Line	 4	3.17	114.39	24.22	115.55	21.27	N/A	21.5	21.5	0	N/A	N/A	N/A	N/A
11	Lines 11	Lines	Line	 4	2.86	109.56	18.41	108.58	21.09	N/A	159.86	200.14	0	N/A	N/A	N/A	N/A
12	Lines 12	Lines	Line	 4	2.49	44.5	41.73	45.4	39.41	N/A	21.04	21.04	0	N/A	N/A	N/A	N/A
13	Lines 13	Lines	Line	 4	2.82	27.79	57.55	27.26	54.78	N/A	10.95	349.05	0	N/A	N/A	N/A	N/A
14	Lines 14	Lines	Line	 4	2.06	59.96	32.8	59.87	34.85	N/A	177.51	182.49	0	N/A	N/A	N/A	N/A
15	Lines 15	Lines	Line	 4	1.98	35.57	17.69	33.6	17.96	N/A	97.77	262.23	0	N/A	N/A	N/A	N/A
16	Lines 16	Lines	Line	 4	2.61	9.83	78.64	7.77	80.25	N/A	128.05	231.95	0	N/A	N/A	N/A	N/A
17	Lines 17	Lines	Line	 4	2.21	23.59	86.06	22.79	88.11	N/A	158.63	201.37	0	N/A	N/A	N/A	N/A
18	Lines 18	Lines	Line	 4	2.29	47.18	70.69	48.61	68.9	N/A	38.66	38.66	0	N/A	N/A	N/A	N/A
19	Lines 19	Lines	Line	 4	3.17	42.89	88.11	44.95	90.53	N/A	139.57	139.57	0	N/A	N/A	N/A	N/A
20	Lines 20	Lines	Line	 4	2.27	96.51	39.23	94.9	40.84	N/A	135	225	0	N/A	N/A	N/A	N/A
21	Lines 21	Lines	Line	 4	2.06	90.53	22.25	90.53	24.31	N/A	180	180	0	N/A	N/A	N/A	N/A
22	Lines 22	Lines	Line	 4	2.77	113.94	33.69	113.85	36.46	N/A	178.15	181.85	0	N/A	N/A	N/A	N/A
