
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance
Line Profile Sample 1 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1196	3	0	0	0
Line Profile Sample 2 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1183.34	3	0.0894	1	0.0294
Line Profile Sample 3 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1196.83	3	0.179	2	0.0587
Line Profile Sample 4 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1237.21	3	0.268	3	0.0881
Line Profile Sample 5 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1291.58	3	0.357	4	0.117
Line Profile Sample 6 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1279.1	3	0.447	5	0.147
Line Profile Sample 7 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1304.55	3	0.536	6	0.176
Line Profile Sample 8 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1337.18	3	0.626	7	0.206
Line Profile Sample 9 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1333.03	3	0.715	8	0.235
Line Profile Sample 10 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1325.43	3	0.804	9	0.264
Line Profile Sample 11 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1324.32	3	0.894	10	0.294
Line Profile Sample 12 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1324.22	3	0.983	11	0.323
Line Profile Sample 13 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1354.27	3	1.07	12	0.352
Line Profile Sample 14 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1322.89	3	1.16	13	0.382
Line Profile Sample 15 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1328.84	3	1.25	14	0.411
Line Profile Sample 16 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1359.1	3	1.34	15	0.44
Line Profile Sample 17 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1376.74	3	1.43	16	0.47
Line Profile Sample 18 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1367.69	3	1.52	17	0.499
Line Profile Sample 19 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1353.69	3	1.61	18	0.528
Line Profile Sample 20 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1351.97	3	1.7	19	0.558
Line Profile Sample 21 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1355.92	3	1.79	20	0.587
Line Profile Sample 22 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1386.43	3	1.88	21	0.617
Line Profile Sample 23 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1328.46	3	1.97	22	0.646
Line Profile Sample 24 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1376.22	3	2.06	23	0.675
Line Profile Sample 25 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1378.09	3	2.14	24	0.705
Line Profile Sample 26 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1356.63	3	2.23	25	0.734
Line Profile Sample 27 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1329.95	3	2.32	26	0.763
Line Profile Sample 28 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1340.04	3	2.41	27	0.793
Line Profile Sample 29 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1331.01	3	2.5	28	0.822
Line Profile Sample 30 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1334.11	3	2.59	29	0.851
Line Profile Sample 31 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1317.17	3	2.68	30	0.881
Line Profile Sample 32 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1313.75	3	2.77	31	0.91
Line Profile Sample 33 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1324.36	3	2.86	32	0.94
Line Profile Sample 34 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1326.21	3	2.95	33	0.969
Line Profile Sample 35 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1320.95	3	3.04	34	0.998
Line Profile Sample 36 for Lines 3	Lines 3 Profile Sample	Line Profile Sample	 18	1320	3	3.04	34.06	1
