
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 31	Lines 31 Profile Sample	1259	 60	31	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 31	Lines 31 Profile Sample	1286.1	 60	31	0.0894	1	0.04	Line Profile Sample
Line Profile Sample 3 for Lines 31	Lines 31 Profile Sample	1280.37	 60	31	0.179	2	0.0799	Line Profile Sample
Line Profile Sample 4 for Lines 31	Lines 31 Profile Sample	1209.48	 60	31	0.268	3	0.12	Line Profile Sample
Line Profile Sample 5 for Lines 31	Lines 31 Profile Sample	1205.29	 60	31	0.357	4	0.16	Line Profile Sample
Line Profile Sample 6 for Lines 31	Lines 31 Profile Sample	1148.22	 60	31	0.447	5	0.2	Line Profile Sample
Line Profile Sample 7 for Lines 31	Lines 31 Profile Sample	1152.94	 60	31	0.536	6	0.24	Line Profile Sample
Line Profile Sample 8 for Lines 31	Lines 31 Profile Sample	1125.64	 60	31	0.626	7	0.28	Line Profile Sample
Line Profile Sample 9 for Lines 31	Lines 31 Profile Sample	1144.16	 60	31	0.715	8	0.32	Line Profile Sample
Line Profile Sample 10 for Lines 31	Lines 31 Profile Sample	1132.73	 60	31	0.804	9	0.36	Line Profile Sample
Line Profile Sample 11 for Lines 31	Lines 31 Profile Sample	1144.12	 60	31	0.894	10	0.4	Line Profile Sample
Line Profile Sample 12 for Lines 31	Lines 31 Profile Sample	1150.78	 60	31	0.983	11	0.44	Line Profile Sample
Line Profile Sample 13 for Lines 31	Lines 31 Profile Sample	1156.35	 60	31	1.07	12	0.48	Line Profile Sample
Line Profile Sample 14 for Lines 31	Lines 31 Profile Sample	1162.27	 60	31	1.16	13	0.52	Line Profile Sample
Line Profile Sample 15 for Lines 31	Lines 31 Profile Sample	1155.48	 60	31	1.25	14	0.56	Line Profile Sample
Line Profile Sample 16 for Lines 31	Lines 31 Profile Sample	1161.13	 60	31	1.34	15	0.6	Line Profile Sample
Line Profile Sample 17 for Lines 31	Lines 31 Profile Sample	1164.4	 60	31	1.43	16	0.639	Line Profile Sample
Line Profile Sample 18 for Lines 31	Lines 31 Profile Sample	1167.38	 60	31	1.52	17	0.679	Line Profile Sample
Line Profile Sample 19 for Lines 31	Lines 31 Profile Sample	1170.92	 60	31	1.61	18	0.719	Line Profile Sample
Line Profile Sample 20 for Lines 31	Lines 31 Profile Sample	1180.8	 60	31	1.7	19	0.759	Line Profile Sample
Line Profile Sample 21 for Lines 31	Lines 31 Profile Sample	1202.04	 60	31	1.79	20	0.799	Line Profile Sample
Line Profile Sample 22 for Lines 31	Lines 31 Profile Sample	1175.11	 60	31	1.88	21	0.839	Line Profile Sample
Line Profile Sample 23 for Lines 31	Lines 31 Profile Sample	1151.17	 60	31	1.97	22	0.879	Line Profile Sample
Line Profile Sample 24 for Lines 31	Lines 31 Profile Sample	1153.08	 60	31	2.06	23	0.919	Line Profile Sample
Line Profile Sample 25 for Lines 31	Lines 31 Profile Sample	1170.72	 60	31	2.14	24	0.959	Line Profile Sample
Line Profile Sample 26 for Lines 31	Lines 31 Profile Sample	1128.85	 60	31	2.23	25	0.999	Line Profile Sample
Line Profile Sample 27 for Lines 31	Lines 31 Profile Sample	1128	 60	31	2.24	25.02	1	Line Profile Sample
