
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 21	Lines 21 Profile Sample	1233	 60	21	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 21	Lines 21 Profile Sample	1234.91	 60	21	0.0894	1	0.0718	Line Profile Sample
Line Profile Sample 3 for Lines 21	Lines 21 Profile Sample	1280.23	 60	21	0.179	2	0.144	Line Profile Sample
Line Profile Sample 4 for Lines 21	Lines 21 Profile Sample	1344	 60	21	0.268	3	0.215	Line Profile Sample
Line Profile Sample 5 for Lines 21	Lines 21 Profile Sample	1421.95	 60	21	0.357	4	0.287	Line Profile Sample
Line Profile Sample 6 for Lines 21	Lines 21 Profile Sample	1455.01	 60	21	0.447	5	0.359	Line Profile Sample
Line Profile Sample 7 for Lines 21	Lines 21 Profile Sample	1463.32	 60	21	0.536	6	0.431	Line Profile Sample
Line Profile Sample 8 for Lines 21	Lines 21 Profile Sample	1516.06	 60	21	0.626	7	0.503	Line Profile Sample
Line Profile Sample 9 for Lines 21	Lines 21 Profile Sample	1617.5	 60	21	0.715	8	0.574	Line Profile Sample
Line Profile Sample 10 for Lines 21	Lines 21 Profile Sample	1709.94	 60	21	0.804	9	0.646	Line Profile Sample
Line Profile Sample 11 for Lines 21	Lines 21 Profile Sample	1758.99	 60	21	0.894	10	0.718	Line Profile Sample
Line Profile Sample 12 for Lines 21	Lines 21 Profile Sample	1776	 60	21	0.983	11	0.79	Line Profile Sample
Line Profile Sample 13 for Lines 21	Lines 21 Profile Sample	1717.81	 60	21	1.07	12	0.862	Line Profile Sample
Line Profile Sample 14 for Lines 21	Lines 21 Profile Sample	1616.31	 60	21	1.16	13	0.933	Line Profile Sample
Line Profile Sample 15 for Lines 21	Lines 21 Profile Sample	1513	 60	21	1.24	13.93	1	Line Profile Sample
