
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 32	Lines 32 Profile Sample	911	 60	32	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 32	Lines 32 Profile Sample	970.01	 60	32	0.0894	1	0.0614	Line Profile Sample
Line Profile Sample 3 for Lines 32	Lines 32 Profile Sample	1013.14	 60	32	0.179	2	0.123	Line Profile Sample
Line Profile Sample 4 for Lines 32	Lines 32 Profile Sample	1024.61	 60	32	0.268	3	0.184	Line Profile Sample
Line Profile Sample 5 for Lines 32	Lines 32 Profile Sample	1046.48	 60	32	0.357	4	0.246	Line Profile Sample
Line Profile Sample 6 for Lines 32	Lines 32 Profile Sample	1047.4	 60	32	0.447	5	0.307	Line Profile Sample
Line Profile Sample 7 for Lines 32	Lines 32 Profile Sample	1073.24	 60	32	0.536	6	0.369	Line Profile Sample
Line Profile Sample 8 for Lines 32	Lines 32 Profile Sample	1068.76	 60	32	0.626	7	0.43	Line Profile Sample
Line Profile Sample 9 for Lines 32	Lines 32 Profile Sample	1051.73	 60	32	0.715	8	0.491	Line Profile Sample
Line Profile Sample 10 for Lines 32	Lines 32 Profile Sample	1044.87	 60	32	0.804	9	0.553	Line Profile Sample
Line Profile Sample 11 for Lines 32	Lines 32 Profile Sample	1041.29	 60	32	0.894	10	0.614	Line Profile Sample
Line Profile Sample 12 for Lines 32	Lines 32 Profile Sample	1036.22	 60	32	0.983	11	0.676	Line Profile Sample
Line Profile Sample 13 for Lines 32	Lines 32 Profile Sample	1040.33	 60	32	1.07	12	0.737	Line Profile Sample
Line Profile Sample 14 for Lines 32	Lines 32 Profile Sample	1031.44	 60	32	1.16	13	0.799	Line Profile Sample
Line Profile Sample 15 for Lines 32	Lines 32 Profile Sample	1054.55	 60	32	1.25	14	0.86	Line Profile Sample
Line Profile Sample 16 for Lines 32	Lines 32 Profile Sample	1130.63	 60	32	1.34	15	0.921	Line Profile Sample
Line Profile Sample 17 for Lines 32	Lines 32 Profile Sample	1240.31	 60	32	1.43	16	0.983	Line Profile Sample
Line Profile Sample 18 for Lines 32	Lines 32 Profile Sample	1273	 60	32	1.45	16.28	1	Line Profile Sample
