
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 5	Lines 5 Profile Sample	1764	 7	5	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 5	Lines 5 Profile Sample	1757.46	 7	5	0.0894	1	0.0462	Line Profile Sample
Line Profile Sample 3 for Lines 5	Lines 5 Profile Sample	1747.06	 7	5	0.179	2	0.0925	Line Profile Sample
Line Profile Sample 4 for Lines 5	Lines 5 Profile Sample	1725.49	 7	5	0.268	3	0.139	Line Profile Sample
Line Profile Sample 5 for Lines 5	Lines 5 Profile Sample	1707.97	 7	5	0.357	4	0.185	Line Profile Sample
Line Profile Sample 6 for Lines 5	Lines 5 Profile Sample	1691.89	 7	5	0.447	5	0.231	Line Profile Sample
Line Profile Sample 7 for Lines 5	Lines 5 Profile Sample	1692.22	 7	5	0.536	6	0.277	Line Profile Sample
Line Profile Sample 8 for Lines 5	Lines 5 Profile Sample	1689	 7	5	0.626	7	0.324	Line Profile Sample
Line Profile Sample 9 for Lines 5	Lines 5 Profile Sample	1712.5	 7	5	0.715	8	0.37	Line Profile Sample
Line Profile Sample 10 for Lines 5	Lines 5 Profile Sample	1702.81	 7	5	0.804	9	0.416	Line Profile Sample
Line Profile Sample 11 for Lines 5	Lines 5 Profile Sample	1704.13	 7	5	0.894	10	0.462	Line Profile Sample
Line Profile Sample 12 for Lines 5	Lines 5 Profile Sample	1706.17	 7	5	0.983	11	0.508	Line Profile Sample
Line Profile Sample 13 for Lines 5	Lines 5 Profile Sample	1706.02	 7	5	1.07	12	0.555	Line Profile Sample
Line Profile Sample 14 for Lines 5	Lines 5 Profile Sample	1709.88	 7	5	1.16	13	0.601	Line Profile Sample
Line Profile Sample 15 for Lines 5	Lines 5 Profile Sample	1720.86	 7	5	1.25	14	0.647	Line Profile Sample
Line Profile Sample 16 for Lines 5	Lines 5 Profile Sample	1743.87	 7	5	1.34	15	0.693	Line Profile Sample
Line Profile Sample 17 for Lines 5	Lines 5 Profile Sample	1755.17	 7	5	1.43	16	0.74	Line Profile Sample
Line Profile Sample 18 for Lines 5	Lines 5 Profile Sample	1749.96	 7	5	1.52	17	0.786	Line Profile Sample
Line Profile Sample 19 for Lines 5	Lines 5 Profile Sample	1760.39	 7	5	1.61	18	0.832	Line Profile Sample
Line Profile Sample 20 for Lines 5	Lines 5 Profile Sample	1816.55	 7	5	1.7	19	0.878	Line Profile Sample
Line Profile Sample 21 for Lines 5	Lines 5 Profile Sample	1844.96	 7	5	1.79	20	0.925	Line Profile Sample
Line Profile Sample 22 for Lines 5	Lines 5 Profile Sample	1843.01	 7	5	1.88	21	0.971	Line Profile Sample
Line Profile Sample 23 for Lines 5	Lines 5 Profile Sample	1849	 7	5	1.93	21.63	1	Line Profile Sample
