
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 8	Lines 8 Profile Sample	1325		8	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 8	Lines 8 Profile Sample	1378.38		8	0.0894	1	0.0445	Line Profile Sample
Line Profile Sample 3 for Lines 8	Lines 8 Profile Sample	1368.76		8	0.179	2	0.089	Line Profile Sample
Line Profile Sample 4 for Lines 8	Lines 8 Profile Sample	1357.81		8	0.268	3	0.133	Line Profile Sample
Line Profile Sample 5 for Lines 8	Lines 8 Profile Sample	1357.3		8	0.357	4	0.178	Line Profile Sample
Line Profile Sample 6 for Lines 8	Lines 8 Profile Sample	1373.13		8	0.447	5	0.222	Line Profile Sample
Line Profile Sample 7 for Lines 8	Lines 8 Profile Sample	1409.79		8	0.536	6	0.267	Line Profile Sample
Line Profile Sample 8 for Lines 8	Lines 8 Profile Sample	1402.52		8	0.626	7	0.311	Line Profile Sample
Line Profile Sample 9 for Lines 8	Lines 8 Profile Sample	1425.6		8	0.715	8	0.356	Line Profile Sample
Line Profile Sample 10 for Lines 8	Lines 8 Profile Sample	1419.33		8	0.804	9	0.4	Line Profile Sample
Line Profile Sample 11 for Lines 8	Lines 8 Profile Sample	1411.11		8	0.894	10	0.445	Line Profile Sample
Line Profile Sample 12 for Lines 8	Lines 8 Profile Sample	1391.02		8	0.983	11	0.489	Line Profile Sample
Line Profile Sample 13 for Lines 8	Lines 8 Profile Sample	1411.04		8	1.07	12	0.534	Line Profile Sample
Line Profile Sample 14 for Lines 8	Lines 8 Profile Sample	1413.39		8	1.16	13	0.578	Line Profile Sample
Line Profile Sample 15 for Lines 8	Lines 8 Profile Sample	1415.18		8	1.25	14	0.623	Line Profile Sample
Line Profile Sample 16 for Lines 8	Lines 8 Profile Sample	1417.7		8	1.34	15	0.667	Line Profile Sample
Line Profile Sample 17 for Lines 8	Lines 8 Profile Sample	1418.09		8	1.43	16	0.712	Line Profile Sample
Line Profile Sample 18 for Lines 8	Lines 8 Profile Sample	1408.51		8	1.52	17	0.756	Line Profile Sample
Line Profile Sample 19 for Lines 8	Lines 8 Profile Sample	1464.52		8	1.61	18	0.801	Line Profile Sample
Line Profile Sample 20 for Lines 8	Lines 8 Profile Sample	1563.08		8	1.7	19	0.845	Line Profile Sample
Line Profile Sample 21 for Lines 8	Lines 8 Profile Sample	1657.76		8	1.79	20	0.89	Line Profile Sample
Line Profile Sample 22 for Lines 8	Lines 8 Profile Sample	1719.56		8	1.88	21	0.934	Line Profile Sample
Line Profile Sample 23 for Lines 8	Lines 8 Profile Sample	1694.93		8	1.97	22	0.979	Line Profile Sample
Line Profile Sample 24 for Lines 8	Lines 8 Profile Sample	1648		8	2.01	22.47	1	Line Profile Sample
