
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 102	Lines 102 Profile Sample	875	 13	102	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 102	Lines 102 Profile Sample	894.08	 13	102	0.0894	1	0.0604	Line Profile Sample
Line Profile Sample 3 for Lines 102	Lines 102 Profile Sample	886.12	 13	102	0.179	2	0.121	Line Profile Sample
Line Profile Sample 4 for Lines 102	Lines 102 Profile Sample	901.14	 13	102	0.268	3	0.181	Line Profile Sample
Line Profile Sample 5 for Lines 102	Lines 102 Profile Sample	944.74	 13	102	0.357	4	0.242	Line Profile Sample
Line Profile Sample 6 for Lines 102	Lines 102 Profile Sample	972.04	 13	102	0.447	5	0.302	Line Profile Sample
Line Profile Sample 7 for Lines 102	Lines 102 Profile Sample	1009.41	 13	102	0.536	6	0.362	Line Profile Sample
Line Profile Sample 8 for Lines 102	Lines 102 Profile Sample	1027.59	 13	102	0.626	7	0.423	Line Profile Sample
Line Profile Sample 9 for Lines 102	Lines 102 Profile Sample	1036.08	 13	102	0.715	8	0.483	Line Profile Sample
Line Profile Sample 10 for Lines 102	Lines 102 Profile Sample	1015.33	 13	102	0.804	9	0.544	Line Profile Sample
Line Profile Sample 11 for Lines 102	Lines 102 Profile Sample	1022.13	 13	102	0.894	10	0.604	Line Profile Sample
Line Profile Sample 12 for Lines 102	Lines 102 Profile Sample	1032.67	 13	102	0.983	11	0.665	Line Profile Sample
Line Profile Sample 13 for Lines 102	Lines 102 Profile Sample	1077.44	 13	102	1.07	12	0.725	Line Profile Sample
Line Profile Sample 14 for Lines 102	Lines 102 Profile Sample	1058.78	 13	102	1.16	13	0.785	Line Profile Sample
Line Profile Sample 15 for Lines 102	Lines 102 Profile Sample	1061.93	 13	102	1.25	14	0.846	Line Profile Sample
Line Profile Sample 16 for Lines 102	Lines 102 Profile Sample	1071.15	 13	102	1.34	15	0.906	Line Profile Sample
Line Profile Sample 17 for Lines 102	Lines 102 Profile Sample	1054.26	 13	102	1.43	16	0.967	Line Profile Sample
Line Profile Sample 18 for Lines 102	Lines 102 Profile Sample	1034	 13	102	1.48	16.55	1	Line Profile Sample
