
Name	Population	Intensity	Item Name	Parent ID	Distance (µm)	Distance	Normalized Distance	Type
Line Profile Sample 1 for Lines 3	Lines 3 Profile Sample	1574	 60	3	0	0	0	Line Profile Sample
Line Profile Sample 2 for Lines 3	Lines 3 Profile Sample	1606.26	 60	3	0.0894	1	0.0399	Line Profile Sample
Line Profile Sample 3 for Lines 3	Lines 3 Profile Sample	1541.49	 60	3	0.179	2	0.0797	Line Profile Sample
Line Profile Sample 4 for Lines 3	Lines 3 Profile Sample	1509.77	 60	3	0.268	3	0.12	Line Profile Sample
Line Profile Sample 5 for Lines 3	Lines 3 Profile Sample	1496.39	 60	3	0.357	4	0.159	Line Profile Sample
Line Profile Sample 6 for Lines 3	Lines 3 Profile Sample	1480.57	 60	3	0.447	5	0.199	Line Profile Sample
Line Profile Sample 7 for Lines 3	Lines 3 Profile Sample	1509.1	 60	3	0.536	6	0.239	Line Profile Sample
Line Profile Sample 8 for Lines 3	Lines 3 Profile Sample	1510.81	 60	3	0.626	7	0.279	Line Profile Sample
Line Profile Sample 9 for Lines 3	Lines 3 Profile Sample	1498.92	 60	3	0.715	8	0.319	Line Profile Sample
Line Profile Sample 10 for Lines 3	Lines 3 Profile Sample	1476.26	 60	3	0.804	9	0.359	Line Profile Sample
Line Profile Sample 11 for Lines 3	Lines 3 Profile Sample	1471.81	 60	3	0.894	10	0.399	Line Profile Sample
Line Profile Sample 12 for Lines 3	Lines 3 Profile Sample	1485.14	 60	3	0.983	11	0.439	Line Profile Sample
Line Profile Sample 13 for Lines 3	Lines 3 Profile Sample	1471.17	 60	3	1.07	12	0.478	Line Profile Sample
Line Profile Sample 14 for Lines 3	Lines 3 Profile Sample	1468.88	 60	3	1.16	13	0.518	Line Profile Sample
Line Profile Sample 15 for Lines 3	Lines 3 Profile Sample	1485.51	 60	3	1.25	14	0.558	Line Profile Sample
Line Profile Sample 16 for Lines 3	Lines 3 Profile Sample	1472.13	 60	3	1.34	15	0.598	Line Profile Sample
Line Profile Sample 17 for Lines 3	Lines 3 Profile Sample	1483.79	 60	3	1.43	16	0.638	Line Profile Sample
Line Profile Sample 18 for Lines 3	Lines 3 Profile Sample	1515.76	 60	3	1.52	17	0.678	Line Profile Sample
Line Profile Sample 19 for Lines 3	Lines 3 Profile Sample	1555.84	 60	3	1.61	18	0.718	Line Profile Sample
Line Profile Sample 20 for Lines 3	Lines 3 Profile Sample	1587.55	 60	3	1.7	19	0.758	Line Profile Sample
Line Profile Sample 21 for Lines 3	Lines 3 Profile Sample	1630.52	 60	3	1.79	20	0.797	Line Profile Sample
Line Profile Sample 22 for Lines 3	Lines 3 Profile Sample	1694.24	 60	3	1.88	21	0.837	Line Profile Sample
Line Profile Sample 23 for Lines 3	Lines 3 Profile Sample	1790.57	 60	3	1.97	22	0.877	Line Profile Sample
Line Profile Sample 24 for Lines 3	Lines 3 Profile Sample	1885.45	 60	3	2.06	23	0.917	Line Profile Sample
Line Profile Sample 25 for Lines 3	Lines 3 Profile Sample	1855.29	 60	3	2.14	24	0.957	Line Profile Sample
Line Profile Sample 26 for Lines 3	Lines 3 Profile Sample	1692.77	 60	3	2.23	25	0.997	Line Profile Sample
Line Profile Sample 27 for Lines 3	Lines 3 Profile Sample	1678	 60	3	2.24	25.08	1	Line Profile Sample
